Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Épioblasme tricorne,,En voie de disparition,2011-11-25,Epioblasma triquetra,Épioblasme tricorne,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Mollusques,,Ajout à la liste
Épioblasme ventrue,,En voie de disparition,2010-04-25,Epioblasma rangiana,Épioblasme ventrue,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Mollusques,,Ajout à la liste
Épipactis géant,,Non en péril,2015-11-26,Epipactis gigantea,Épipactis géant,,,,,,Colombie-Britannique,Plantes vasculaires,,
Éricaméria de Bloomer,,Données insuffisantes,1997-04-01,Ericameria bloomeri,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Plantes vasculaires,,
Ériocaulon de Parker,,Non en péril,2007-04-22,Eriocaulon parkeri,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Québec",Plantes vasculaires,,
Érioderme boréal,Population boréale,Préoccupante,2014-11-28,Erioderma pedicellatum,Érioderme boréal,Population boréale,Préoccupante,2005-01-12,Annexe 1,2005-01-12,Terre-Neuve-et-Labrador,Lichens,,Ajout à la liste
Érioderme boréal,Population de l'Atlantique,En voie de disparition,2014-11-28,Erioderma pedicellatum,Érioderme boréal,Population de l'Atlantique,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,"Nouveau-Brunswick, Nouvelle-Écosse",Lichens,,Ajout à la liste
Érioderme mou,,En voie de disparition,2021-05-05,Erioderma mollissimum,Érioderme mou,,En voie de disparition,2012-06-20,Annexe 1,2012-06-20,"Nouveau-Brunswick, Nouvelle-Écosse, Terre-Neuve-et-Labrador",Lichens,,Ajout à la liste
Ériogone du Nord,,Préoccupante,2017-11-01,Eriogonum flavum var. aquilinum,Ériogone du Nord,,Préoccupante,2021-04-23,Annexe 1,2021-04-23,Yukon,Plantes vasculaires,,Ajout à la liste
Érythrophylle du Columbia,,Préoccupante,2014-11-28,Bryoerythrophyllum columbianum,Érythrophylle du Columbia,,Préoccupante,2005-07-14,Annexe 1,2005-07-14,Colombie-Britannique,Mousses,,Ajout à la liste
Escargot du Puget,,Disparue du pays,2013-05-03,Cryptomastix devia,Escargot du Puget,,Disparue du pays,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Mollusques,,Ajout à la liste
Escargot galuchat,,En voie de disparition,2019-11-29,Inflectarius inflectus,Escargot galuchat,,En voie de disparition,2024-06-10,Annexe 1,2024-06-10,Ontario,Mollusques,,Ajout à la liste
Escargot-cratère de Say,,Non en péril,2003-11-01,Appalachina sayana,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec",Mollusques,,
Escargot-forestier de Townsend,,En voie de disparition,2013-05-03,Allogona townsendiana,Escargot-forestier de Townsend,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Mollusques,,Ajout à la liste
Escargot-forestier écharge,,En voie de disparition,2014-11-28,Allogona profunda,Escargot-forestier écharge,,En voie de disparition,2019-02-25,Annexe 1,2019-02-25,Ontario,Mollusques,,Ajout à la liste
Escargot-tigre à bandes de l’Est,,En voie de disparition,2017-04-28,Anguispira kochi kochi,Escargot-tigre à bandes de l’Est,,En voie de disparition,2021-08-12,Annexe 1,2021-08-12,Ontario,Mollusques,,Ajout à la liste
Escargot-tigre à bandes de l’Ouest,,Non en péril,2017-04-28,Anguispira kochi occidentalis,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Mollusques,,
Esturgeon à museau court,,Préoccupante,2015-05-01,Acipenser brevirostrum,Esturgeon à museau court,,Préoccupante,2009-03-05,Annexe 1,2009-03-05,"Nouveau-Brunswick, Nouvelle-Écosse",Poissons d'eau douce,,Ajout à la liste
Esturgeon blanc,,Non active,2012-11-25,Acipenser transmontanus,Esturgeon blanc,,Aucun statut,,,,Colombie-Britannique,Poissons d'eau douce,,
,,,,Acipenser transmontanus,Esturgeon blanc,population de la rivière Kootenay,Aucun statut,2019-08-08,Aucune annexe,2006-08-15,Colombie-Britannique,Poissons d'eau douce,,Retirer - Réaffectation ES
,,,,Acipenser transmontanus,Esturgeon blanc,population de la rivière Nechako,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
,,,,Acipenser transmontanus,Esturgeon blanc,Population du cours inférieur du fleuve Fraser,Aucun statut,2006-08-15,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,,Ne pas inscrire
Esturgeon blanc,Population du cours inférieur du fleuve Fraser,Menacée,2012-11-25,Acipenser transmontanus,Esturgeon blanc,Population du cours inférieur du fleuve Fraser,Aucun statut,,,,Colombie-Britannique,Poissons d'eau douce,,
,,,,Acipenser transmontanus,Esturgeon blanc,population du cours moyen du Fraser,Aucun statut,2006-08-15,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,,Ne pas inscrire
Esturgeon blanc,Population du cours supérieur de la rivière Kootenay,En voie de disparition,2012-11-25,Acipenser transmontanus,Esturgeon blanc,Population du cours supérieur de la rivière Kootenay,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Poissons d'eau douce,,
Esturgeon blanc,Population du cours supérieur du fleuve Columbia,En voie de disparition,2012-11-25,Acipenser transmontanus,Esturgeon blanc,Population du cours supérieur du fleuve Columbia,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Poissons d'eau douce,,
,,,,Acipenser transmontanus,Esturgeon blanc,Population du cours supérieur du fleuve Columbia,Aucun statut,2019-08-08,Aucune annexe,2006-08-15,Colombie-Britannique,Poissons d'eau douce,,Retirer - Réaffectation ES
Esturgeon blanc,Population du cours supérieur du fleuve Fraser,En voie de disparition,2012-11-25,Acipenser transmontanus,Esturgeon blanc,Population du cours supérieur du fleuve Fraser,Aucun statut,,,,Colombie-Britannique,Poissons d'eau douce,,
,,,,Acipenser transmontanus,Esturgeon blanc,Population du cours supérieur du fleuve Fraser,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Poissons d'eau douce,,Ajout à la liste
Esturgeon jaune,,Non active,2005-05-05,Acipenser fulvescens,,,Aucun statut,,Aucune annexe,,"Alberta, Manitoba, Ontario, Québec, Saskatchewan",Poissons d'eau douce,,
Esturgeon jaune,Populations de l'Ouest,Non active,2006-11-24,Acipenser fulvescens,Esturgeon jaune,Populations de l'Ouest,,,Aucune annexe,,"Alberta, Manitoba, Saskatchewan",Poissons d'eau douce,,
Esturgeon jaune,Populations de l'ouest de la baie d'Hudson,En voie de disparition,2017-04-28,Acipenser fulvescens,Esturgeon jaune,Populations de l'ouest de la baie d'Hudson,Aucun statut,,Aucune annexe,,"Manitoba, Saskatchewan",Poissons d'eau douce,Un ajout,En attente
Esturgeon jaune,Populations de la rivière Nelson,Non active,2017-04-28,Acipenser fulvescens,Esturgeon jaune,Populations de la rivière Nelson,Aucun statut,,Aucune annexe,,Manitoba,Poissons d'eau douce,,
Esturgeon jaune,Populations de la rivière Rouge - de la rivière Assiniboine - du lac Winnipeg,Non active,2017-04-28,Acipenser fulvescens,Esturgeon jaune,Populations de la rivière Rouge - de la rivière Assiniboine - du lac Winnipeg,Aucun statut,,Aucune annexe,,"Manitoba, Ontario, Saskatchewan",Poissons d'eau douce,,
Esturgeon jaune,Populations de la rivière Saskatchewan,Non active,2017-04-28,Acipenser fulvescens,Esturgeon jaune,Populations de la rivière Saskatchewan,Aucun statut,,Aucune annexe,,"Alberta, Manitoba, Saskatchewan",Poissons d'eau douce,,
Esturgeon jaune,Populations de la rivière Saskatchewan et du fleuve Nelson,En voie de disparition,2017-04-28,Acipenser fulvescens,Esturgeon jaune,Populations de la rivière Saskatchewan et du fleuve Nelson,Aucun statut,,Aucune annexe,,"Alberta, Manitoba, Ontario, Saskatchewan",Poissons d'eau douce,Un ajout,En attente
Esturgeon jaune,Populations de la rivière Winnipeg - de la rivière English,Non active,2017-04-28,Acipenser fulvescens,Esturgeon jaune,Populations de la rivière Winnipeg - de la rivière English,Aucun statut,,Aucune annexe,,"Manitoba, Ontario",Poissons d'eau douce,,
Esturgeon jaune,Populations des Grands Lacs et du haut Saint-Laurent,Menacée,2017-04-28,Acipenser fulvescens,Esturgeon jaune,Populations des Grands Lacs et du haut Saint-Laurent,Aucun statut,,Aucune annexe,,"Ontario, Québec",Poissons d'eau douce,Un ajout,En attente
Esturgeon jaune,Populations du lac des Bois - de la rivière à la Pluie,Non active,2017-04-28,Acipenser fulvescens,Esturgeon jaune,Populations du lac des Bois - de la rivière à la Pluie,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Esturgeon jaune,Populations du sud de la baie d'Hudson et de la baie James,Préoccupante,2017-04-28,Acipenser fulvescens,Esturgeon jaune,Populations du sud de la baie d'Hudson et de la baie James,Préoccupante,2019-08-08,Annexe 1,2019-08-08,"Manitoba, Ontario, Québec",Poissons d'eau douce,,Ajout à la liste
Esturgeon noir,Populations des Maritimes,Menacée,2011-05-06,Acipenser oxyrinchus,Esturgeon noir,Populations des Maritimes,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique",Poissons d'eau douce,Un ajout,En attente
Esturgeon noir,Populations du Saint-Laurent,Menacée,2011-05-06,Acipenser oxyrinchus,Esturgeon noir,Populations du Saint-Laurent,Aucun statut,,Aucune annexe,,"Océan Atlantique, Québec",Poissons d'eau douce,Un ajout,En attente
Esturgeon vert,,Préoccupante,2013-11-01,Acipenser medirostris,Esturgeon vert,,Préoccupante,2006-08-15,Annexe 1,2006-08-15,"Colombie-Britannique, Océan Pacifique",Poissons d'eau douce,,Ajout à la liste
Eulakane,Population centrale de la côte du Pacifique,En voie de disparition,2011-05-06,Thaleichthys pacificus,Eulakane,Population centrale de la côte du Pacifique,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Eulakane,Population des rivières Nass et Skeena,Préoccupante,2013-05-03,Thaleichthys pacificus,Eulakane,Population des rivières Nass et Skeena,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Eulakane,Population du fleuve Fraser,En voie de disparition,2011-05-06,Thaleichthys pacificus,Eulakane,Population du fleuve Fraser,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Fabronie naine,,En voie de disparition,2012-05-04,Fabronia pusilla,Fabronie naine,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Mousses,,Ajout à la liste
Faucon des prairies,,Non en péril,1996-04-01,Falco mexicanus,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Saskatchewan",Oiseaux,,
Faucon émerillon,,Non en péril,1985-04-01,Falco columbarius,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Faucon gerfaut,,Non en péril,1987-04-01,Falco rusticolus,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Faucon pèlerin anatum/tundrius,,Non en péril,2017-11-01,Falco peregrinus anatum/tundrius,Faucon pèlerin anatum/tundrius,,Aucun statut,2023-02-15,Aucune annexe,2003-06-05,"Alberta, Colombie-Britannique, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,Retirer: Préoccupante à non en péril
Faucon pèlerin de la sous-espèce anatum,,Non active,2007-04-22,Falco peregrinus anatum,Faucon pèlerin de la sous-espèce anatum,,Aucun statut,2013-03-08,Aucune annexe,2003-06-05,"Alberta, Colombie-Britannique, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,Retirer - Réaffectation ES
Faucon pèlerin de la sous-espèce pealei,,Préoccupante,2017-11-01,Falco peregrinus pealei,Faucon pèlerin de la sous-espèce pealei,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Oiseaux,,Ajout à la liste
Faucon pèlerin de la sous-espèce tundrius,,Non active,2007-04-22,Falco peregrinus tundrius,Faucon pèlerin de la sous-espèce tundrius,,,,,,"Nunavut, Québec, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Fausse-teigne à cinq points du yucca,,En voie de disparition,2013-05-03,Prodoxus quinquepunctellus,Fausse-teigne à cinq points du yucca,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Alberta,Arthropodes,,Ajout à la liste
Fissident appauvri,,En voie de disparition,2022-12-03,Fissidens pauperculus,Fissident appauvri,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Mousses,,Ajout à la liste
Fissident pygmée,,Non en péril,2016-04-29,Fissidens exilis,Fissident pygmée,,Aucun statut,2019-02-25,Aucune annexe,2006-08-15,"Colombie-Britannique, Nouvelle-Écosse, Ontario, Québec",Mousses,,Retirer: Préoccupante à non en péril
Flétan atlantique,,Non en péril,2011-11-25,Hippoglossus hippoglossus,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,,
Floerkée fausse-proserpinie,,Non en péril,1984-04-01,Floerkea proserpinacoides,,,Aucun statut,,Aucune annexe,,"Nouvelle-Écosse, Ontario, Québec",Plantes vasculaires,,
Fondule barré,Populations continentales,Non en péril,1989-04-01,Fundulus diaphanus,,,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Terre-Neuve-et-Labrador",Poissons d'eau douce,,
Fondule barré,Populations de Terre-Neuve,Préoccupante,2014-05-02,Fundulus diaphanus,Fondule barré,Populations de Terre-Neuve,Préoccupante,2005-01-12,Annexe 1,2005-01-12,Terre-Neuve-et-Labrador,Poissons d'eau douce,,Ajout à la liste
Fondule rayé,,Préoccupante,2012-05-04,Fundulus notatus,Fondule rayé,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Ontario,Poissons d'eau douce,,Ajout à la liste
Fouille-roche gris,,Non active,2016-11-27,Percina copelandi,Fouille-roche gris,,Aucun statut,2019-08-08,Aucune annexe,2006-04-06,"Ontario, Québec",Poissons d'eau douce,,Retirer - Réaffectation ES
Fouille-roche gris,Populations du lac Érié,En voie de disparition,2016-11-27,Percina copelandi,Fouille-roche gris,Populations du lac Érié,En voie de disparition,2019-08-08,Annexe 1,2006-04-06,Ontario,Poissons d'eau douce,,Promouvoir: Menacée à en voie de disparition
Fouille-roche gris,Populations du lac Ontario,En voie de disparition,2016-11-27,Percina copelandi,Fouille-roche gris,Populations du lac Ontario,En voie de disparition,2019-08-08,Annexe 1,2006-04-06,Ontario,Poissons d'eau douce,,Promouvoir: Menacée à en voie de disparition
Fouille-roche gris,Populations du Saint-Laurent,Préoccupante,2016-11-27,Percina copelandi,Fouille-roche gris,Populations du Saint-Laurent,Préoccupante,2019-08-08,Annexe 1,2006-04-06,"Ontario, Québec",Poissons d'eau douce,,Rétrograder: Menacée à préoccupante
Foulque d'Amérique,,Non en péril,1991-04-01,Fulica americana,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Frasère de Caroline,,En voie de disparition,2006-04-29,Frasera caroliniensis,Frasère de Caroline,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Ontario,Plantes vasculaires,,Ajout à la liste
Frêne bleu,,Menacée,2014-11-28,Fraxinus quadrangulata,Frêne bleu,,Menacée,2023-02-03,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Promouvoir: Préoccupante à menacée
Frêne noir,,Menacée,2018-11-01,Fraxinus nigra,Frêne noir,,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Terre-Neuve-et-Labrador",Plantes vasculaires,Un ajout,En attente
Frêne pubescent,,En voie de disparition,2022-05-11,Fraxinus profunda,Frêne pubescent,,Aucun statut,,Aucune annexe,,Ontario,Plantes vasculaires,Un ajout,En attente
Fuscopannaire à taches blanches,,Menacée,2019-05-03,Fuscopannaria leucosticta,Fuscopannaire à taches blanches,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec",Lichens,Un ajout,En attente
Garrot d'Islande,Population de l'Est,Préoccupante,2011-05-06,Bucephala islandica,Garrot d'Islande,Population de l'Est,Préoccupante,2003-06-05,Annexe 1,2003-06-05,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Québec, Terre-Neuve-et-Labrador",Oiseaux,,Ajout à la liste
Gaufre brun,,Non en péril,1998-04-01,Geomys bursarius,,,Aucun statut,,Aucune annexe,,Manitoba,Mammifères terrestres,,
Gentiane blanche,,En voie de disparition,2010-11-26,Gentiana alba,Gentiane blanche,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Gentiane de Victorin,,Préoccupante,2022-05-11,Gentianopsis virgata ssp. victorinii,Gentiane de Victorin,,Menacée,,Annexe 1,2005-07-14,Québec,Plantes vasculaires,Changement de statut,En attente
Gérardie de Gattinger,,En voie de disparition,2001-05-01,Agalinis gattingeri,Gérardie de Gattinger,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Manitoba, Ontario",Plantes vasculaires,,Ajout à la liste
Gérardie de Skinner,,En voie de disparition,2010-11-26,Agalinis skinneriana,Gérardie de Skinner,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Gérardie de Virginie,,En voie de disparition,2018-04-27,Aureolaria virginica,Gérardie de Virginie,,En voie de disparition,2023-02-03,Annexe 1,2023-02-03,Ontario,Plantes vasculaires,,Ajout à la liste
Gérardie fausse-pédiculaire,,Menacée,2018-04-27,Aureolaria pedicularia,Gérardie fausse-pédiculaire,,Menacée,2023-02-03,Annexe 1,2023-02-03,Ontario,Plantes vasculaires,,Ajout à la liste
Gérardie jaune,,Menacée,2018-04-27,Aureolaria flava,Gérardie jaune,,Menacée,2023-02-03,Annexe 1,2023-02-03,Ontario,Plantes vasculaires,,Ajout à la liste
Gérardie rude,,En voie de disparition,2006-04-29,Agalinis aspera,Gérardie rude,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Manitoba,Plantes vasculaires,,Ajout à la liste
Gesse littorale,,Menacée,2013-05-03,Lathyrus littoralis,Gesse littorale,,Menacée,2023-02-03,Annexe 1,2023-02-03,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Ginseng à cinq folioles,,En voie de disparition,2000-05-01,Panax quinquefolius,Ginseng à cinq folioles,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Ontario, Québec",Plantes vasculaires,,Ajout à la liste
Globicéphale du Pacifique,,Non en péril,1993-04-01,Globicephala macrorhynchus,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
Globicéphale noir,,Non en péril,1994-04-01,Globicephala melas,,,Aucun statut,,Aucune annexe,,Océan Atlantique,Mammifères marins,,
